entry_no,entry_marker,rank_ja,rank_en,rank_source,name_as_printed,surname,given_name,subheading_ja,order_class,decoration
2603-18,假記,海軍大尉,Lieutenant,printed,小西 敏夫,小西,敏夫,,四等,瑞寶章
2603-19,同,海軍大尉,Lieutenant,ditto,比良 國清,比良,國清,,四等,瑞寶章
2603-20,同,海軍大尉,Lieutenant,ditto,箱山 德太郎,箱山,德太郎,,四等,瑞寶章
2603-21,同,海軍大尉,Lieutenant,ditto,安部 一男,安部,一男,,四等,瑞寶章
2603-22,同,海軍大尉,Lieutenant,ditto,増田 利章,増田,利章,,四等,瑞寶章
2603-23,同,海軍大尉,Lieutenant,ditto,篠田 不可止,篠田,不可止,,四等,瑞寶章
2603-24,同,海軍大尉,Lieutenant,ditto,野村 勇,野村,勇,,四等,瑞寶章
2603-25,同,海軍大尉,Lieutenant,ditto,大谷 恒,大谷,恒,,四等,瑞寶章
2603-26,同,海軍中尉,Sub-Lieutenant,printed,石井 丑松,石井,丑松,横須賀鎭守府關係,四等,瑞寶章
2603-27,同,海軍中尉,Sub-Lieutenant,ditto,細田 義男,細田,義男,横須賀鎭守府關係,四等,瑞寶章
